eh_revised_sample,sample,sample_id,sample_date,adsorbent,extraction,volume_ml,filter_area_cm2,ads_mass_mg,eluent_vol_ml,eluate_vol_ul,lysis_vol_ul,infa_cq,rsv_cq,sars_cq,mev_cq,adv_cq,rv_cq,nv_cq,env_cq
b1_gac_0524,b1_gac_0524,banook1,20220524,gac,NA,NA,NA,1000,NA,NA,500,0,30.48,0,0,0,0,0,0
b2_gac_0524,b2_gac_0524,banook2,20220524,gac,NA,NA,NA,1000,NA,NA,500,0,24.73,0,0,0,0,0,0
b1_gac_0531,b1_gac_0531,banook1,20220531,gac,NA,NA,NA,1000,NA,NA,500,37.4,22.11,38.49,0,31,0,31.56,0
b1_grab_0614,b1_gr_0614,banook1,20220614,grab,tween_bead,100,NA,NA,4,1000,500,0,30.51,0,0,0,0,0,0
b1_gac_0614,b1_g_0614,banook1,20220614,gac,tween_bead,NA,NA,3000,6,1000,500,41.13,19.51,0,0,0,0,0,0
b2_gac_0614,b2_g_0614,banook2,20220614,gac,tween_bead,NA,NA,3000,6,1000,500,41.47,27.43,29.43,0,30.96,0,25.69,30.87
b1_gac_0621,b1_g_0621,banook1,20220621,gac,tween_bead,NA,NA,3000,6,1000,500,0,26.29,0,0,0,0,0,31.27
b2_gac_0621,b2_g_0621,banook2,20220621,gac,tween_bead,NA,NA,3000,6,1000,500,37.64,0,0,0,0,0,27.04,0
b1_grab_0621,b1_gr_0621,banook1,20220621,grab,tween_bead,100,NA,NA,4,1000,500,0,0,0,0,0,0,0,0
b2_grab_0621,b2_gr_0621,banook2,20220621,grab,tween_bead,100,NA,NA,4,1000,500,0,0,0,0,0,0,0,0
b1_gac_0628,b1_gac_0628,banook1,20220628,gac,tween_bead,,,3000,6,1000,500,39.76,32.84,35.9,0,38.95,0,22.78,0
b2_gac_0628,b2_gac_0628,banook2,20220628,gac,tween_bead,,,3000,6,1000,500,36.5,0,0,0,31.16,0,22.9,31.86
b2_grab_0628,b2_gr_0628,banook2,20220628,grab,tween_bead,100,,,4,1000,500,0,0,0,0,0,0,0,0
b1_gac_0705,b1_gac_0705,banook1,20220705,gac,tween_bead,,,3000,6,1000,500,33.42,28.65,30.12,0,30.24,0,0,30.51
b1_grab_0705,b1_gr_0705,banook1,20220705,grab,tween_bead,100,,,6,1000,500,0,0,0,0,0,0,0,0
b2_grab_0705,b2_gr_0705,banook2,20220705,grab,tween_bead,100,,,6,1000,500,0,0,0,0,0,0,0,0
b1_gac_0712,b1_gac_0712,banook1,20220712,gac,tween_bead,,,3000,6,1000,500,35.19,0,36.6,0,30.73,0,33.46,30.86
b2_gac_0712,b2_gac_0712,banook2,20220712,gac,tween_bead,,,3000,6,1000,500,34.96,26.82,0,0,32.25,0,33.71,32.02
b2_grab_0712,b2_gr_0712,banook2,20220712,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b1_grab_0719,b1_gr_0719,banook1,20220719,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b1_gac_0719,b1_gac_0719,banook1,20220719,gac,tween_bead,,,3000,6,1000,500,30.24,26.1,0,0,31.8,0,38.15,0
b2_grab_0719,b2_gr_0719,banook2,20220719,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b2_gac_0719,b2_gac_0719,banook2,20220719,gac,tween_bead,,,3000,6,1000,500,29.38,0,0,0,32.57,36.12,34.9,0
b1_gac_0726,b1_gac_0726,banook1,20220726,gac,tween_bead,,,3000,6,1000,500,0,23.37,0,0,31.39,0,34.15,34.13
b2_gac_0726,b2_gac_0726,banook2,20220726,gac,tween_bead,,,3000,6,1000,500,0,33.93,0,0,31.62,0,0,0
b1_grab_0726,b1_gr_0726,banook1,20220726,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b2_grab_0726,b2_gr_0726,banook2,20220726,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b1_gac_0802,b1_gac_0802,banook1,20220802,gac,tween_bead,,,3000,6,1000,500,0,0,0,0,33.01,0,0,0
b1_grab_0802,b1_gr_0802,banook1,20220802,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b2_grab_0802,b2_gr_0802,banook2,20220802,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b1_gac_0809,b1_gac_0809,banook1,20220809,gac,tween_bead,,,3000,6,1000,500,0,0,0,0,31.27,0,0,0
b2_gac_0809,b2_gac_0809,banook2,20220809,gac,tween_bead,,,3000,6,1000,500,0,29.8,0,0,31.6,0,25.43,30.83
b1_grab_0809,b1_gr_0809,banook1,20220809,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b2_grab_0809,b2_gr_0809,banook2,20220809,grab,,100,15.9043,,,,500,0,0,0,0,0,0,0,0
b1_gac_0816,b1_gac_0816,banook1,20220816,gac,tween_bead,,,3000,6,1000,500,0,26.38,0,0,31.4,0,32.89,0
b1_grab_0816,b1_gr_0816,banook1,20220816,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_gac_0816,b2_gac_0816,banook2,20220816,gac,tween_bead,,,3000,6,1000,500,0,0,0,0,30.5,0,0,33.68
b2_grab_0816,b2_gr_0816,banook2,20220816,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_grab_0830,b1_gr_0830,banook1,20220830,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b2_grab_0830,b2_gr_0830,banook2,20220830,grab,,100,,,,,500,0,0,0,0,0,0,0,0
b1_gac_0830,b1_gac_0830,banook1,20220830,gac,tween_bead,,,3000,6,1000,500, ,20.22, ,0,29.57,0,0,0
b2_gac_0830,b2_gac_0830,banook2,20220830,gac,tween_bead,,,3000,6,1000,500,33.11,0,0,0,32.55,0,34.47,20.36
b1_grab_0906,b1_gr_0906,banook1,20220906,grab,,100,,,,,500,0,0,0,0,0,0,0,0
